"owner","posts","avg_likes","avg_comments","max_views"
"flaviaabreu.terapia","12","26","6","0"
"priscilacampo","6","6","0","0"
"terapeutaflordelis","4","14","1","0"
"isabelledelunaa","4","2","1","0"
"vitalizen.app","3","1","0","0"
"fitnessfusionhq_","3","1","0","0"
"yogaloveoficial","2","17","0","0"
"nubiacmarques","2","15","2","0"
"danieloliveira.yoga","2","9","1","0"
"yogaonelleida","2","6","0","0"
"emanuel.corpo","2","3","2","0"
"nepalyogaschoolofficial","2","0","1","0"
"useyogaverso","2","-1","8","0"
"vijnanayogabrasil","2","-1","1","0"
"ashtangayogafloripa","1","703","30","0"
"yoganandabrasil","1","386","3","0"
"professoraamparooficial","1","193","12","0"
"renataventura.iyengaryoga","1","106","1","0"
"medicenmela","1","78","2","0"
"anandavidya_","1","62","9","0"
"bemindfulness.br","1","57","5","0"
"felicipatty","1","44","3","0"
"yogaterraom","1","42","15","0"
"fisiohelenamarqueti","1","42","8","0"
"saint.marc_yoga.studio","1","37","5","0"
"espacoserzen_andreza","1","33","0","0"
"sraddha_yoga","1","24","2","0"
"juliayogaa","1","23","0","0"
"sabrinamenezes.terapeutaeyoga","1","19","0","0"
"satsang_com_marcosgualberto","1","19","1","0"
"rita_plenitude","1","15","0","0"
"leilanelobo","1","15","1","0"
"homegrown_power_yoga","1","14","3","0"
"yogadevistockholm","1","14","0","0"
"amaliajcastro_yogasat","1","13","5","0"
"yogaguimaraes","1","13","0","0"
"conexaoyana","1","13","0","0"
"equilibrestudiodeyoga","1","13","0","0"
"cleopatradancestudio","1","12","0","0"
"escolaholisticafilhosdosol","1","12","1","0"
